"date,""2023-03-20 11:47:58.305533"",""U min:"",""-5.0"",""['U max:', 5.0]"",""['I min:', -10.0]"",""['I max:', 10.0]"",""['Step:', 5.0]"",""['Sample Average:', 10.0]""";
"UI Measure,""Voltage [V]"",""Current [A]""";
0,021061;-4,00E-06
0,024002;5,00E-06
0,02915;1,50E-05
0,035768;2,40E-05
0,04018;3,00E-05
0,045695;3,80E-05
0,05121;4,90E-05
0,057093;5,80E-05
0,059299;6,40E-05
0,063711;7,10E-05
0,069962;8,20E-05
0,074374;9,10E-05
0,079889;9,70E-05
0,085036;0,000104
0,08761;0,000114
0,094963;0,000124
0,098641;0,000131
0,10195;0,000129
0,105259;0,00014
0,109671;0,000149
0,115186;0,000156
0,119599;0,000163
0,124011;0,000173
0,129893;0,000184
0,136144;0,000189
0,13835;0,000196
0,144233;0,000206
0,14938;0,000216
0,154895;0,000222
0,159675;0,000229
0,163352;0,000238
0,168867;0,000249
0,174383;0,000256
0,180266;0,000263
0,185045;0,000272
0,191664;0,000282
0,19534;0,000289
0,198649;0,000296
0,205268;0,000305
0,213356;0,000316
0,218136;0,000323
0,221813;0,000329
0,227328;0,000338
0,230269;0,000348
0,237255;0,000355
0,240564;0,000362
0,249022;0,000371
0,25086;0,000381
0,256743;0,000388
0,263361;0,000395
0,266302;0,000404
0,272553;0,000413
0,27623;0,00042
0,280274;0,000427
0,287995;0,000436
0,294613;0,000447
0,296819;0,000454
0,304908;0,000461
0,307114;0,00047
0,310791;0,00048
0,318144;0,000487
0,323293;0,000493
0,327337;0,000502
0,331749;0,000512
0,338367;0,00052
0,340941;0,000525
0,34903;0,000534
0,351604;0,000545
0,357486;0,000553
0,361163;0,000558
0,368884;0,000567
0,372561;0,000578
0,376973;0,000586
0,382856;0,000592
0,3869;0,0006
0,390577;0,000611
0,397563;0,000619
0,403447;0,000624
0,402711;0,000632
0,4108;0,000642
0,416683;0,000651
0,422198;0,000656
0,425507;0,000662
0,43139;0,000672
0,435434;0,000681
0,443891;0,000688
0,445729;0,000694
0,451612;0,000705
0,45823;0,000715
0,456392;0,000713
0,459701;0,000719
0,466687;0,00073
0,471466;0,000739
0,476983;0,000745
0,481395;0,000752
0,489851;0,000762
0,492057;0,000773
0,497572;0,000779
0,502352;0,000785
0,507132;0,000795
0,512647;0,000805
0,517427;0,000811
0,521471;0,000818
0,527721;0,000827
0,532869;0,000838
0,538752;0,000845
0,4537;0,000851
